question_id,question_category,question,response,timestamp,model,mode
5d049,history,اشرح الدور التاريخي لمدينة الدرعية في تأسيس الدولة السعودية الأولى.,تُعتبر هذه من أهم الأحداث في التاريخ السعودي، حيث شكلت نقطة تحول مهمة في تطور المملكة العربية السعودية.,2025-08-14T17:11:05.776268,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e24f1,history,ما أهمية مدينة مكة المكرمة دينياً وتاريخياً؟,هذا الموضوع له جذور تاريخية عميقة في شبه الجزيرة العربية، ويعكس التراث الثقافي الغني للمنطقة.,2025-08-14T17:11:05.776309,unsloth/gemma-3-270m-it-GGUF,demo_simulation
e8652,history,من هو الملك عبد العزيز وما دوره في توحيد المملكة العربية السعودية؟,يرجع تاريخ هذا الحدث إلى عهد الملك عبد العزيز آل سعود، الذي أسس المملكة العربية السعودية الحديثة.,2025-08-14T17:11:05.776314,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d20b9,history,اشرح مفهوم 'يوم التأسيس' ودلالاته في السعودية.,يرجع تاريخ هذا الحدث إلى عهد الملك عبد العزيز آل سعود، الذي أسس المملكة العربية السعودية الحديثة.,2025-08-14T17:11:05.776318,unsloth/gemma-3-270m-it-GGUF,demo_simulation
7d8bf,history,ما هي معركة 'السبلة' وأهميتها في التاريخ السعودي؟,هذا الموضوع له جذور تاريخية عميقة في شبه الجزيرة العربية، ويعكس التراث الثقافي الغني للمنطقة.,2025-08-14T17:11:05.776321,unsloth/gemma-3-270m-it-GGUF,demo_simulation
1e279,history,ما هو تاريخ النقود والعملات في السعودية؟,تُعتبر هذه من أهم الأحداث في التاريخ السعودي، حيث شكلت نقطة تحول مهمة في تطور المملكة العربية السعودية.,2025-08-14T17:11:05.776324,unsloth/gemma-3-270m-it-GGUF,demo_simulation
2fe27,culture,اشرح مفهوم 'العرضة' ودورها في المناسبات الوطنية السعودية.,تحتل هذه العادة مكانة خاصة في الثقافة السعودية، وتُمارس في المناسبات الوطنية والاجتماعية المهمة.,2025-08-14T17:11:05.776327,unsloth/gemma-3-270m-it-GGUF,demo_simulation
4d99e,culture,اذكر أهم الأكلات التقليدية في المطبخ السعودي ووصفها.,تُعد هذه من أهم التقاليد الثقافية في المملكة العربية السعودية، وهي جزء لا يتجزأ من الهوية الوطنية.,2025-08-14T17:11:05.776332,unsloth/gemma-3-270m-it-GGUF,demo_simulation
708d3,culture,ما دور الضيافة في الثقافة العربية والسعودية؟,تحتل هذه العادة مكانة خاصة في الثقافة السعودية، وتُمارس في المناسبات الوطنية والاجتماعية المهمة.,2025-08-14T17:11:05.776335,unsloth/gemma-3-270m-it-GGUF,demo_simulation
d4373,culture,كيف يتم استقبال الضيوف وتقديم القهوة العربية؟,تُعد هذه من أهم التقاليد الثقافية في المملكة العربية السعودية، وهي جزء لا يتجزأ من الهوية الوطنية.,2025-08-14T17:11:05.776338,unsloth/gemma-3-270m-it-GGUF,demo_simulation
